"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050723,MSPB-1,0.997970,,01/01/2024,12/31/2024
050726,MSPB-1,N/A,1,01/01/2024,12/31/2024
050735,MSPB-1,1.335399,,01/01/2024,12/31/2024
050736,MSPB-1,1.045780,,01/01/2024,12/31/2024
050737,MSPB-1,1.160636,,01/01/2024,12/31/2024
050738,MSPB-1,1.429597,,01/01/2024,12/31/2024
050739,MSPB-1,1.088664,,01/01/2024,12/31/2024
050740,MSPB-1,1.043382,,01/01/2024,12/31/2024
050744,MSPB-1,1.235897,,01/01/2024,12/31/2024
050745,MSPB-1,1.422432,,01/01/2024,12/31/2024
050746,MSPB-1,1.045298,,01/01/2024,12/31/2024
050747,MSPB-1,1.404241,,01/01/2024,12/31/2024
050748,MSPB-1,1.042466,,01/01/2024,12/31/2024
050755,MSPB-1,1.186165,,01/01/2024,12/31/2024
050758,MSPB-1,1.225004,,01/01/2024,12/31/2024
050760,MSPB-1,0.966778,,01/01/2024,12/31/2024
050761,MSPB-1,1.041812,,01/01/2024,12/31/2024
050763,MSPB-1,1.288944,,01/01/2024,12/31/2024
050764,MSPB-1,0.949143,,01/01/2024,12/31/2024
050765,MSPB-1,N/A,1,01/01/2024,12/31/2024
050766,MSPB-1,0.998828,,01/01/2024,12/31/2024
050767,MSPB-1,0.858541,,01/01/2024,12/31/2024
050769,MSPB-1,0.875428,,01/01/2024,12/31/2024
050770,MSPB-1,1.065751,,01/01/2024,12/31/2024
050771,MSPB-1,1.346500,,01/01/2024,12/31/2024
050772,MSPB-1,0.844670,,01/01/2024,12/31/2024
050775,MSPB-1,1.042839,,01/01/2024,12/31/2024
050776,MSPB-1,1.355330,,01/01/2024,12/31/2024
050777,MSPB-1,1.015155,,01/01/2024,12/31/2024
050778,MSPB-1,N/A,1,01/01/2024,12/31/2024
050779,MSPB-1,0.947906,,01/01/2024,12/31/2024
050780,MSPB-1,1.417005,,01/01/2024,12/31/2024
